Type,Iterations,Time,OptIterations,Discount,Epsilon,SCost,NegTerm,PosTerm,KeyLoss
value,64,0.005428,28,0.999999,1e-06,-0.04,-0.86,1,0.5
value,64,0.0054,28,0.999999,1e-06,-0.04,-0.87,1,0.5
value,64,0.005405,36,0.999999,1e-06,-0.04,-0.88,1,0.5
value,64,0.005407,32,0.999999,1e-06,-0.04,-0.89,1,0.5
value,64,0.005385,31,0.999999,1e-06,-0.04,-0.9,1,0.5
value,64,0.005383,31,0.999999,1e-06,-0.04,-0.91,1,0.5
value,64,0.00542,30,0.999999,1e-06,-0.04,-0.92,1,0.5
value,64,0.005387,30,0.999999,1e-06,-0.04,-0.93,1,0.5
value,64,0.005403,29,0.999999,1e-06,-0.04,-0.94,1,0.5
value,64,0.005457,29,0.999999,1e-06,-0.04,-0.95,1,0.5
value,64,0.005553,29,0.999999,1e-06,-0.04,-0.96,1,0.5
value,64,0.005394,29,0.999999,1e-06,-0.04,-0.97,1,0.5
value,64,0.005401,29,0.999999,1e-06,-0.04,-0.98,1,0.5
value,64,0.005386,32,0.999999,1e-06,-0.04,-0.99,1,0.5
value,64,0.00545,31,0.999999,1e-06,-0.04,-1,1,0.5
value,64,0.005404,30,0.999999,1e-06,-0.04,-1.01,1,0.5
value,64,0.005411,29,0.999999,1e-06,-0.04,-1.02,1,0.5
value,64,0.00727,29,0.999999,1e-06,-0.04,-1.03,1,0.5
value,64,0.007372,29,0.999999,1e-06,-0.04,-1.04,1,0.5
value,64,0.005705,28,0.999999,1e-06,-0.04,-1.05,1,0.5
value,64,0.005872,30,0.999999,1e-06,-0.04,-1.06,1,0.5
value,64,0.00584,28,0.999999,1e-06,-0.04,-1.07,1,0.5
value,64,0.005496,28,0.999999,1e-06,-0.04,-1.08,1,0.5
value,64,0.005411,28,0.999999,1e-06,-0.04,-1.09,1,0.5
value,64,0.005628,28,0.999999,1e-06,-0.04,-1.1,1,0.5
value,64,0.005521,28,0.999999,1e-06,-0.04,-1.11,1,0.5
value,64,0.005429,28,0.999999,1e-06,-0.04,-1.12,1,0.5
value,75,0.006595,30,0.999999,1e-06,-0.04,-1.13,1,0.5
value,76,0.006578,28,0.999999,1e-06,-0.04,-1.14,1,0.5
